date,day_of_week,month,year,is_weekend,promo_discount,competitor_price,demand_index,customer_segment,price
2022-06-09,3,6,2022,0,7.96,63.92,97.3,B,104.3
2022-07-18,0,7,2022,0,26.76,133.6,79.48,A,104.48
2021-06-23,2,6,2021,0,17.31,108.65,19.52,B,146.21
2022-11-05,5,11,2022,1,8.42,24.38,64.55,A,64.57
2021-09-03,4,9,2021,0,28.21,191.71,91.49,B,71.38
2020-11-09,0,11,2020,0,0.46,187.1,42.82,C,188.54
2020-11-26,3,11,2020,0,28.91,173.54,29.44,A,71.14
2021-10-25,0,10,2021,0,25.53,77.05,16.95,D,92.28
2020-02-09,6,2,2020,1,28.08,145.29,57.01,A,19.63
2022-01-13,3,1,2022,0,18.45,198.21,14.01,C,91.52
2021-05-05,2,5,2021,0,26.32,153.34,69.7,A,142.38
2021-05-08,5,5,2021,1,10.78,72.85,80.94,A,186.44
2020-06-24,2,6,2020,0,26.01,184.38,51.13,D,81.14
2020-05-21,3,5,2020,0,23.95,136.99,70.2,B,156.93
2020-09-19,5,9,2020,1,26.7,80.84,37.56,D,17.94
2020-12-04,4,12,2020,0,17.35,26.47,46.56,C,107.98
2022-12-16,4,12,2022,0,8.6,126.35,3.05,D,19.9
2021-03-09,1,3,2021,0,24.68,84.83,12.71,B,101.17
2021-09-30,3,9,2021,0,23.1,58.85,62.29,D,22.99
2022-02-03,3,2,2022,0,1.55,115.64,54.06,D,128.53
2022-11-25,4,11,2022,0,21.78,195.65,51.63,D,55.56
2020-09-04,4,9,2020,0,23.86,68.75,43.9,B,22.27
2021-04-05,0,4,2021,0,0.76,193.28,83.6,A,168.54
2021-11-23,1,11,2021,0,12.27,51.19,15.64,A,67.95
2021-04-16,4,4,2021,0,16.48,148.63,66.02,B,66.23
2020-01-15,2,1,2020,0,28.65,152.82,55.44,A,120.3
2020-04-30,3,4,2020,0,12.59,64.59,35.6,B,161.86
2020-05-18,0,5,2020,0,0.43,40.89,4.6,A,38.85
2021-11-07,6,11,2021,1,25.66,146.66,47.42,A,21.29
2022-11-18,4,11,2022,0,14.75,105.22,17.32,B,94.3
2021-07-24,5,7,2021,1,11.96,130.85,63.51,D,23.4
2021-03-14,6,3,2021,1,11.24,132.65,50.31,B,179.89
2022-08-26,4,8,2022,0,19.76,49.33,7.06,B,130.33
2022-08-26,4,8,2022,0,0.8,125.44,94.02,D,122.33
2021-01-24,6,1,2021,1,11.65,135.79,45.83,A,125.79
2020-07-17,4,7,2020,0,28.24,89.5,96.12,D,152.87
2021-12-26,6,12,2021,1,5.87,32.49,10.08,D,24.11
2022-04-21,3,4,2022,0,2.83,142.94,7.12,D,70.34
2020-04-20,0,4,2020,0,25.35,24.19,81.45,A,68.55
2020-05-04,0,5,2020,0,3.54,145.41,62.89,D,165.08
2021-11-25,3,11,2021,0,22.05,164.63,28.2,A,37.93
2021-05-24,0,5,2021,0,22.52,165.23,99.05,B,87.56
2021-01-24,6,1,2021,1,11.16,159.75,34.08,D,163.62
2020-10-14,2,10,2020,0,25.75,97.22,75.09,D,128.45
2021-01-10,6,1,2021,1,3.09,182.46,50.53,C,163.02
2022-08-05,4,8,2022,0,9.6,181.19,38.92,B,18.04
2020-06-03,2,6,2020,0,27.16,36.43,31.93,D,157.7
2020-07-19,6,7,2020,1,28.52,123.22,63.18,A,90.59
2020-01-31,4,1,2020,0,8.8,79.16,67.25,A,175.34
2021-04-29,3,4,2021,0,23.75,162.13,9.12,B,92.46
2022-04-12,1,4,2022,0,1.73,118.92,44.15,D,167.88
2022-09-12,0,9,2022,0,10.53,41.07,14.3,B,163.71
2022-04-01,4,4,2022,0,18.55,38.2,8.41,A,150.21
2020-12-03,3,12,2020,0,2.18,167.93,70.62,D,37.01
2020-01-05,6,1,2020,1,2.55,197.6,37.43,D,79.23
2021-06-27,6,6,2021,1,24.38,190.5,98.6,D,127.41
2021-08-07,5,8,2021,1,11.29,35.03,77.71,D,112.72
2022-09-23,4,9,2022,0,12.73,183.14,11.12,B,102.79
2021-01-23,5,1,2021,1,0.34,104.36,5.63,C,44.08
2021-03-21,6,3,2021,1,3.53,136.86,74.6,A,145.31
2020-05-04,0,5,2020,0,28.87,87.48,28.57,C,148.16
2020-04-27,0,4,2020,0,6.71,193.38,1.22,A,207.16
2022-09-03,5,9,2022,1,1.29,180.41,52.77,B,213.88
2020-04-26,6,4,2020,1,2.21,119.69,96.93,A,138.22
2021-01-15,4,1,2021,0,18.88,145.23,45.45,A,133.5
2020-05-19,1,5,2020,0,17.53,182.21,4.54,B,57.1
2022-04-06,2,4,2022,0,28.51,180.25,45.57,A,119.52
2021-05-19,2,5,2021,0,8.32,53.86,46.37,A,95.95
2020-06-16,1,6,2020,0,17.51,33.99,97.44,D,178.25
2022-12-06,1,12,2022,0,20.94,116.5,30.95,C,145.17
2021-06-18,4,6,2021,0,20.54,49.27,91.09,B,172.37
2021-10-05,1,10,2021,0,28.49,150.63,61.34,B,79.16
2021-06-27,6,6,2021,1,27.98,175.89,4.52,D,-1.42
2020-09-25,4,9,2020,0,11.29,165.9,98.73,C,45.0
2022-07-25,0,7,2022,0,17.82,88.56,96.99,C,160.58
2020-05-28,3,5,2020,0,25.15,104.36,41.48,A,58.29
2022-07-27,2,7,2022,0,1.69,175.65,81.29,A,228.37
2020-05-30,5,5,2020,1,29.9,119.98,76.9,B,180.44
2022-11-02,2,11,2022,0,25.49,64.52,45.05,C,27.59
2020-09-28,0,9,2020,0,28.62,129.11,22.86,C,112.21
2020-05-20,2,5,2020,0,18.54,84.47,11.36,B,135.72
2022-01-26,2,1,2022,0,15.61,159.02,52.02,C,156.78
2020-11-19,3,11,2020,0,16.56,120.97,87.67,D,79.91
2021-09-11,5,9,2021,1,4.02,25.18,75.51,A,158.33
2021-09-05,6,9,2021,1,21.12,58.33,13.64,A,10.94
2020-10-02,4,10,2020,0,10.52,126.19,39.22,C,91.05
2020-08-24,0,8,2020,0,27.12,82.69,51.4,A,159.44
2020-11-14,5,11,2020,1,11.9,131.98,86.24,C,181.48
2021-07-31,5,7,2021,1,4.41,186.79,49.21,B,71.03
2021-12-03,4,12,2021,0,13.77,196.41,49.26,B,74.04
2021-06-24,3,6,2021,0,19.0,63.23,7.59,D,28.62
2021-05-29,5,5,2021,1,3.84,47.34,13.88,A,154.6
2020-07-08,2,7,2020,0,5.46,82.22,89.68,D,103.24
2021-07-20,1,7,2021,0,20.03,51.02,19.23,A,18.37
2020-01-08,2,1,2020,0,5.07,70.15,17.7,C,37.2
2020-09-24,3,9,2020,0,3.62,102.94,20.63,C,84.42
2020-11-26,3,11,2020,0,15.1,144.27,3.93,D,136.77
2022-05-25,2,5,2022,0,18.84,34.72,87.36,A,202.31
2020-08-17,0,8,2020,0,1.83,69.84,80.62,A,184.17
2020-11-01,6,11,2020,1,5.54,57.68,37.05,A,123.74
2022-01-26,2,1,2022,0,18.55,86.4,46.25,B,153.61
2022-05-30,0,5,2022,0,1.1,65.44,71.33,B,203.6
2020-03-26,3,3,2020,0,15.35,115.78,10.72,C,85.94
2022-01-16,6,1,2022,1,15.98,63.64,26.92,A,89.58
2022-01-02,6,1,2022,1,0.6,77.97,21.14,B,90.89
2021-05-26,2,5,2021,0,3.59,180.29,59.36,A,160.13
2021-12-25,5,12,2021,1,23.68,109.72,8.69,D,88.54
2020-11-12,3,11,2020,0,17.61,154.18,43.17,B,33.56
2020-11-28,5,11,2020,1,8.51,85.35,64.59,B,132.74
2022-04-24,6,4,2022,1,10.68,197.57,60.58,A,64.02
2021-01-02,5,1,2021,1,3.05,47.51,24.6,C,53.16
2022-04-23,5,4,2022,1,5.6,71.32,17.34,B,193.19
2021-06-30,2,6,2021,0,2.41,114.41,41.04,B,212.94
2020-08-09,6,8,2020,1,3.36,91.61,96.95,D,168.79
2020-03-20,4,3,2020,0,24.51,66.42,17.09,D,111.81
2021-03-31,2,3,2021,0,27.88,120.22,57.16,B,54.84
2022-07-31,6,7,2022,1,23.08,53.67,32.37,C,79.85
2021-09-17,4,9,2021,0,15.23,63.63,11.48,B,128.78
2021-04-01,3,4,2021,0,8.66,124.62,15.44,A,113.59
2021-01-30,5,1,2021,1,15.98,29.33,33.66,D,36.1
2021-11-03,2,11,2021,0,1.9,198.19,32.24,C,158.83
2020-05-22,4,5,2020,0,7.64,142.67,76.02,C,123.54
2021-12-20,0,12,2021,0,14.15,94.13,34.89,D,163.76
2021-11-09,1,11,2021,0,24.92,193.7,12.43,A,141.02
2020-08-24,0,8,2020,0,28.15,52.62,6.65,C,126.62
2020-12-31,3,12,2020,0,17.23,171.53,13.98,C,141.3
2020-03-19,3,3,2020,0,6.05,49.46,16.43,A,186.71
2022-06-08,2,6,2022,0,19.96,114.15,35.88,C,157.53
2021-10-04,0,10,2021,0,11.77,166.99,43.91,D,73.91
2022-11-13,6,11,2022,1,13.88,74.25,74.76,A,121.41
2022-02-27,6,2,2022,1,6.97,181.92,38.39,B,121.39
2021-06-05,5,6,2021,1,27.19,132.36,11.69,A,183.18
2022-06-12,6,6,2022,1,18.83,80.28,13.93,A,166.62
2022-11-30,2,11,2022,0,18.6,116.02,89.39,B,164.31
2022-01-15,5,1,2022,1,4.55,76.11,24.85,D,142.24
2020-05-23,5,5,2020,1,1.01,122.58,76.25,C,178.89
2021-10-04,0,10,2021,0,10.26,167.83,11.06,A,181.3
2021-09-07,1,9,2021,0,3.82,91.51,79.73,C,53.74
2022-04-16,5,4,2022,1,6.88,150.01,72.0,C,131.32
2022-04-04,0,4,2022,0,20.82,117.69,25.18,C,64.64
2020-09-17,3,9,2020,0,5.45,183.52,58.34,B,98.03
2022-05-11,2,5,2022,0,13.86,190.51,15.34,D,102.3
2020-12-22,1,12,2020,0,15.18,130.06,1.81,C,157.2
2022-04-11,0,4,2022,0,27.96,121.72,69.67,A,185.87
2021-09-14,1,9,2021,0,21.22,47.46,57.63,C,115.31
2021-03-06,5,3,2021,1,12.72,152.56,93.44,D,167.04
2021-10-21,3,10,2021,0,13.53,40.38,98.48,D,157.77
2022-06-23,3,6,2022,0,3.74,185.75,86.99,D,107.16
2021-03-13,5,3,2021,1,17.74,91.82,5.48,D,61.7
2020-12-13,6,12,2020,1,24.09,20.83,33.35,A,87.86
2021-08-04,2,8,2021,0,16.12,185.57,34.63,C,66.99
2020-07-10,4,7,2020,0,22.13,101.4,22.46,B,90.81
2021-09-27,0,9,2021,0,4.23,51.75,49.84,B,108.76
2021-02-11,3,2,2021,0,27.45,85.23,58.06,B,123.8
2020-02-20,3,2,2020,0,0.39,139.44,17.8,A,217.15
2021-05-16,6,5,2021,1,4.46,94.63,8.53,D,180.99
2020-05-29,4,5,2020,0,15.07,127.17,6.71,D,129.81
2022-04-28,3,4,2022,0,6.3,181.65,20.51,B,53.54
2022-02-25,4,2,2022,0,1.1,104.97,56.48,D,37.02
2022-03-29,1,3,2022,0,23.27,101.59,52.44,B,90.55
2020-10-29,3,10,2020,0,12.02,120.74,15.52,A,50.87
2020-08-06,3,8,2020,0,25.85,190.3,37.33,D,42.39
2021-03-24,2,3,2021,0,19.32,93.57,2.54,B,36.08
2022-11-26,5,11,2022,1,21.48,138.61,2.71,D,37.63
2020-04-12,6,4,2020,1,6.93,140.94,1.97,B,36.71
2020-09-05,5,9,2020,1,24.0,52.14,65.27,D,47.51
2020-09-30,2,9,2020,0,2.98,63.77,72.23,D,166.58
2022-12-23,4,12,2022,0,24.91,91.49,66.81,C,41.89
2022-06-25,5,6,2022,1,8.79,181.34,1.3,D,24.9
2022-07-02,5,7,2022,1,6.24,24.78,18.14,B,135.75
2022-08-30,1,8,2022,0,12.64,180.68,81.74,D,70.23
2021-06-14,0,6,2021,0,7.78,88.34,59.03,B,75.55
2021-07-21,2,7,2021,0,18.72,93.69,55.2,D,81.55
2021-05-04,1,5,2021,0,8.83,190.72,76.36,C,42.27
2022-06-19,6,6,2022,1,26.05,107.74,89.46,A,166.63
2021-08-08,6,8,2021,1,12.76,24.04,26.87,B,122.03
2021-07-10,5,7,2021,1,19.0,66.42,13.94,C,151.39
2021-10-16,5,10,2021,1,29.53,114.62,17.17,A,50.02
2020-10-10,5,10,2020,1,0.55,184.57,11.78,B,131.43
2021-04-18,6,4,2021,1,8.22,119.75,65.14,D,154.49
2020-11-08,6,11,2020,1,6.19,21.98,13.69,B,195.38
2020-05-11,0,5,2020,0,26.22,127.53,60.05,D,110.81
2022-04-14,3,4,2022,0,5.26,184.59,41.88,C,84.23
2022-08-12,4,8,2022,0,15.57,28.45,16.63,D,132.77
2020-05-07,3,5,2020,0,2.48,128.57,24.53,B,98.3
2022-05-10,1,5,2022,0,8.66,84.02,71.9,D,70.03
2020-02-10,0,2,2020,0,16.99,105.69,66.37,D,164.69
2022-09-03,5,9,2022,1,21.98,58.69,3.12,A,57.87
2021-12-21,1,12,2021,0,17.85,29.26,49.64,C,116.93
2022-03-09,2,3,2022,0,10.03,158.76,10.66,D,23.96
2021-03-27,5,3,2021,1,21.85,109.19,68.84,D,79.06
2021-03-25,3,3,2021,0,7.39,167.44,79.94,C,139.92
2022-06-11,5,6,2022,1,8.16,126.24,36.1,D,32.06
2020-02-29,5,2,2020,1,27.52,44.63,95.02,D,81.03
2021-11-19,4,11,2021,0,5.55,117.54,87.29,D,143.19
2020-12-04,4,12,2020,0,24.2,138.58,69.23,D,142.79
2020-09-18,4,9,2020,0,7.49,108.1,22.12,A,216.81
2022-03-17,3,3,2022,0,28.32,27.1,70.56,A,191.31
2020-06-20,5,6,2020,1,5.42,122.23,91.55,D,30.36
2020-10-04,6,10,2020,1,20.92,73.52,92.44,D,170.49
2021-01-07,3,1,2021,0,28.33,105.36,86.2,A,172.75
2021-06-16,2,6,2021,0,9.57,169.2,3.7,D,107.7
2021-11-01,0,11,2021,0,6.9,41.7,7.7,B,154.47
2022-07-20,2,7,2022,0,10.2,150.46,6.54,C,66.2
2021-11-22,0,11,2021,0,16.18,162.33,31.88,D,109.4
2021-07-23,4,7,2021,0,26.58,130.86,23.3,D,3.24
2021-05-31,0,5,2021,0,26.1,23.83,87.47,A,117.33
2022-08-21,6,8,2022,1,28.17,163.78,99.79,A,73.43
2020-04-16,3,4,2020,0,23.02,92.35,47.99,C,114.11
2021-04-04,6,4,2021,1,26.21,197.14,76.83,A,84.5
2020-03-23,0,3,2020,0,12.64,152.76,23.88,A,35.2
2021-05-21,4,5,2021,0,10.64,71.7,29.63,B,63.83
2020-02-11,1,2,2020,0,1.26,23.22,98.77,B,120.18
2021-05-03,0,5,2021,0,11.53,142.34,21.83,B,193.75
2022-08-27,5,8,2022,1,23.59,36.09,41.76,A,183.72
2021-03-22,0,3,2021,0,28.34,104.13,61.34,D,29.39
2021-06-08,1,6,2021,0,29.74,61.7,94.27,C,117.36
2020-12-09,2,12,2020,0,18.23,112.28,23.07,A,44.27
2020-12-01,1,12,2020,0,6.61,53.56,77.96,C,86.95
2020-08-09,6,8,2020,1,1.74,194.44,88.38,A,213.81
2021-09-30,3,9,2021,0,29.85,51.3,39.62,D,124.22
2022-03-23,2,3,2022,0,20.88,47.7,81.58,B,58.06
2020-06-04,3,6,2020,0,6.71,116.66,59.29,B,134.2
2020-07-27,0,7,2020,0,2.74,177.94,26.56,C,42.11
2020-09-04,4,9,2020,0,26.66,192.02,86.21,A,162.88
2021-12-12,6,12,2021,1,19.66,119.15,8.7,D,70.9
2022-01-28,4,1,2022,0,11.18,66.76,72.34,A,123.17
2022-11-02,2,11,2022,0,2.43,59.63,68.33,C,42.87
2020-01-26,6,1,2020,1,25.54,109.13,48.06,D,99.4
2022-09-30,4,9,2022,0,24.74,82.61,67.8,A,120.71
2022-06-06,0,6,2022,0,8.01,178.15,79.74,C,132.6
2022-07-30,5,7,2022,1,25.52,176.11,70.84,B,161.09
2022-06-10,4,6,2022,0,20.92,142.43,61.86,B,150.82
2022-12-04,6,12,2022,1,4.76,178.56,87.18,C,28.78
2022-09-17,5,9,2022,1,24.77,43.2,33.51,D,126.23
2022-06-11,5,6,2022,1,4.82,167.23,83.21,C,110.66
2021-10-22,4,10,2021,0,0.19,71.67,61.69,B,219.46
2020-06-26,4,6,2020,0,18.95,66.76,63.4,C,105.69
2022-07-12,1,7,2022,0,23.4,39.26,76.1,B,115.16
2022-08-09,1,8,2022,0,28.89,81.54,63.26,D,154.02
2021-11-19,4,11,2021,0,3.08,188.7,68.79,A,40.23
2022-10-09,6,10,2022,1,9.03,147.47,6.74,C,113.11
2021-01-07,3,1,2021,0,10.38,131.76,4.57,D,153.33
2021-03-10,2,3,2021,0,29.2,194.4,74.97,C,20.9
2021-06-13,6,6,2021,1,22.75,24.43,2.21,C,61.27
2021-07-26,0,7,2021,0,14.66,158.67,68.33,C,89.77
2020-01-21,1,1,2020,0,8.21,199.48,42.62,B,102.19
2020-06-24,2,6,2020,0,4.91,163.07,69.37,B,66.79
2022-04-12,1,4,2022,0,2.47,142.49,65.45,D,68.53
2021-05-07,4,5,2021,0,28.53,47.19,43.23,D,155.96
2022-10-02,6,10,2022,1,12.59,134.93,39.76,D,57.6
2020-02-05,2,2,2020,0,29.52,93.68,89.41,A,50.74
2021-08-25,2,8,2021,0,6.39,25.6,65.17,B,99.94
2022-04-08,4,4,2022,0,25.93,105.18,96.82,B,43.98
2021-09-19,6,9,2021,1,26.06,159.79,77.09,C,147.93
2022-08-27,5,8,2022,1,22.83,132.72,13.12,C,7.31
2022-05-21,5,5,2022,1,27.63,131.0,79.65,C,85.93
2021-12-21,1,12,2021,0,3.52,42.53,68.56,D,97.8
2021-07-08,3,7,2021,0,6.02,108.49,6.42,C,117.75
2021-05-29,5,5,2021,1,8.07,163.56,31.04,B,103.74
2020-09-04,4,9,2020,0,0.35,33.04,39.25,B,124.23
2021-10-08,4,10,2021,0,18.0,72.5,69.5,A,187.16
2021-01-14,3,1,2021,0,23.4,27.13,48.05,B,30.39
2021-03-19,4,3,2021,0,7.26,197.6,14.25,D,93.68
2021-07-20,1,7,2021,0,18.54,146.44,55.96,C,10.92
2020-07-24,4,7,2020,0,9.79,113.19,8.79,B,82.47
2021-08-29,6,8,2021,1,1.0,34.14,39.69,B,57.91
2022-01-09,6,1,2022,1,17.03,144.1,80.06,B,52.29
2021-09-11,5,9,2021,1,5.02,38.82,63.64,A,172.23
2022-12-29,3,12,2022,0,0.95,188.52,5.2,B,123.45
2021-07-15,3,7,2021,0,21.27,176.77,71.41,A,166.48
2020-04-21,1,4,2020,0,10.18,166.67,8.01,C,164.69
2020-09-15,1,9,2020,0,16.43,167.11,45.23,D,113.02
2020-07-29,2,7,2020,0,15.79,151.69,8.16,A,20.13
2021-08-05,3,8,2021,0,7.41,48.72,87.18,D,61.5
2022-09-07,2,9,2022,0,29.28,80.64,18.21,D,126.59
2021-11-28,6,11,2021,1,19.76,109.68,55.54,B,146.76
2020-04-15,2,4,2020,0,6.85,199.34,97.48,C,132.99
2022-09-05,0,9,2022,0,5.99,142.44,7.22,A,25.44
2020-05-13,2,5,2020,0,7.73,103.27,86.83,D,141.01
2022-10-04,1,10,2022,0,22.28,96.59,34.59,A,80.45
2020-04-19,6,4,2020,1,29.63,27.22,86.7,B,117.43
2020-11-01,6,11,2020,1,13.16,150.55,48.67,C,162.83
2020-06-23,1,6,2020,0,27.02,95.91,27.68,B,112.95
2020-08-30,6,8,2020,1,27.37,57.92,62.3,D,107.68
2021-04-07,2,4,2021,0,21.99,43.68,71.58,D,158.95
2022-07-11,0,7,2022,0,5.39,62.76,97.14,D,57.39
2021-08-31,1,8,2021,0,25.63,108.61,24.72,D,142.33
2021-09-17,4,9,2021,0,13.36,112.67,35.92,A,133.46
2020-07-22,2,7,2020,0,4.91,90.39,96.94,B,80.56
2021-03-08,0,3,2021,0,19.7,78.53,77.35,C,35.79
2020-06-15,0,6,2020,0,29.09,101.68,23.61,B,11.99
2021-05-06,3,5,2021,0,5.09,113.56,33.7,B,180.39
2020-06-02,1,6,2020,0,12.93,64.77,61.71,B,154.58
2020-01-06,0,1,2020,0,5.01,50.17,3.67,D,139.86
2022-07-11,0,7,2022,0,19.91,105.43,84.42,D,142.45
2021-08-19,3,8,2021,0,17.56,176.29,20.58,A,28.42
2021-04-19,0,4,2021,0,8.09,30.28,53.12,C,184.58
2021-08-02,0,8,2021,0,1.18,41.98,45.22,D,179.41
2020-05-25,0,5,2020,0,9.48,111.3,4.16,B,44.17
2021-06-25,4,6,2021,0,29.6,193.72,0.49,B,170.2
2022-05-20,4,5,2022,0,19.17,176.23,45.47,A,109.31
2021-04-05,0,4,2021,0,14.67,140.04,13.97,B,15.88
2021-06-28,0,6,2021,0,9.24,146.84,20.19,B,143.49
2020-05-26,1,5,2020,0,29.1,36.9,67.26,A,94.23
2020-12-05,5,12,2020,1,26.04,51.89,69.26,C,151.19
2021-08-14,5,8,2021,1,28.34,142.98,49.72,D,99.62
2020-09-11,4,9,2020,0,26.07,122.71,3.04,D,149.1
2021-09-14,1,9,2021,0,20.69,141.77,21.57,D,110.68
2021-07-11,6,7,2021,1,11.82,137.22,10.66,D,117.72
2022-06-15,2,6,2022,0,29.98,28.68,97.72,A,89.76
2020-03-22,6,3,2020,1,26.12,160.83,56.7,D,120.99
2021-10-22,4,10,2021,0,26.36,92.75,32.7,C,116.32
2020-02-22,5,2,2020,1,24.24,157.21,79.78,A,92.71
2021-04-13,1,4,2021,0,24.54,41.64,54.45,A,10.85
2021-07-05,0,7,2021,0,9.74,85.96,39.62,A,159.61
2020-12-24,3,12,2020,0,11.66,100.76,23.75,D,74.58
2022-11-28,0,11,2022,0,6.82,33.18,60.34,D,133.05
2021-07-23,4,7,2021,0,18.58,103.43,37.98,B,173.72
2022-06-11,5,6,2022,1,15.57,106.25,2.56,D,63.71
2020-07-05,6,7,2020,1,11.41,91.79,58.02,D,104.27
2021-12-13,0,12,2021,0,18.24,157.68,81.3,D,127.14
2021-11-13,5,11,2021,1,28.67,23.28,19.58,C,3.31
2020-08-02,6,8,2020,1,19.42,181.65,24.35,B,179.34
2021-11-06,5,11,2021,1,1.81,188.2,35.16,D,36.5
2022-10-11,1,10,2022,0,14.58,66.22,28.49,C,66.75
2022-03-31,3,3,2022,0,24.09,117.05,31.13,A,124.33
2022-07-20,2,7,2022,0,21.48,69.07,41.35,A,34.26
2021-10-06,2,10,2021,0,5.43,142.6,18.14,C,108.09
2021-10-24,6,10,2021,1,21.27,39.24,56.73,A,64.48
2022-04-07,3,4,2022,0,28.89,107.04,80.6,A,113.14
2022-08-04,3,8,2022,0,1.3,133.97,95.14,D,125.82
2020-04-21,1,4,2020,0,24.58,179.16,22.81,B,38.76
2022-11-27,6,11,2022,1,18.33,93.99,83.99,C,168.5
2022-10-17,0,10,2022,0,10.6,62.64,78.05,D,66.19
2020-04-15,2,4,2020,0,24.68,96.27,66.75,B,25.6
2021-06-30,2,6,2021,0,18.72,101.32,58.66,B,44.44
2021-08-12,3,8,2021,0,22.11,175.3,21.67,D,16.67
2022-09-19,0,9,2022,0,0.71,135.55,60.71,A,139.69
2020-02-29,5,2,2020,1,6.96,90.36,59.45,B,119.58
2020-11-20,4,11,2020,0,29.63,44.56,69.51,C,73.98
2020-01-29,2,1,2020,0,12.85,149.17,69.24,D,175.54
2020-07-09,3,7,2020,0,3.85,38.74,72.43,B,142.34
2020-08-20,3,8,2020,0,8.22,34.3,8.57,D,163.68
2020-08-28,4,8,2020,0,5.76,78.21,22.67,B,90.82
2022-10-17,0,10,2022,0,2.08,113.43,6.76,C,158.64
2022-11-08,1,11,2022,0,7.01,117.2,88.01,C,135.94
2022-04-30,5,4,2022,1,15.99,78.38,33.3,D,120.54
2022-08-25,3,8,2022,0,29.82,139.13,55.78,B,136.84
2022-07-24,6,7,2022,1,13.96,30.83,56.23,B,202.12
2022-02-24,3,2,2022,0,5.26,144.2,20.09,B,121.79
2022-11-06,6,11,2022,1,2.9,101.07,75.62,B,96.78
2020-05-22,4,5,2020,0,19.95,163.18,92.72,C,50.73
